序号	语料
422		 {ꈎꄜ}ꀄꊭꌠ莉/nhs ꀋꂿꑘ/vu ꁯ /v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀵ /v ！/w "/w 
423		 {ꆅ}ꄻ/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ꈊꃀꀤ/n ꀊ/u 《/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꃹ/v ꀈ꒜/u "/w ꉎꉐ/o "/w ꀞꅀ/u ？/w 
424		 ꀋꏯꀋꇈ/v 《/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꃹ/v ꀈ꒜/u "/w ꉎꉐ/o "/w ꀞꅀ/u ？/w 
425		 {ꇇ}ꀯꀀ/v ꀊ/u {ꋍꑍ...}ꆏꀋꎪ/v ꀊ/u {ꁌ}ꌐꁱ/n ꀒ/vl ：/w 《/w ꀊꀑꐱꃅꂴꄉ/nh  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀋꀀ/v {ꑽꏃ}ꏠ/a 》/w 《/w ꀊꀑꐱꃅꂴꄉ/nh ꀉꉙꀋꎪꃅ/d ꉪꏡ /v 》/w 《/w ꀊꀑꐱꃅꂴꄉ/nh ꀉꁁ/d ꀉꌙꃅꄡ/v 》/w 《/w ꀊꀑꐱꃅꂴꄉ/nh ꀉꁁ/d ꄚꇷꉻ/r 》/w 《/w ꆴ /v ꀊꀑꐱꃅꂴꄉ/nh (ꅇ)ꉉ/v ꀋꇈꃅ/m ꅇꂷ/n ꅇ/n 》/w 《/w ꀊꀑꐱꃅꂴꄉ/nh ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꄏꐓ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r 》/w 《/w ꀊꀑꐱꃅꂴꄉ/nh ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꇿ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r 》/w ；/w ꀊꅰ/d {ꏯ}ꀋꋌ/a ꀊ/u {ꋍꑍ...}ꆏꀋꎪ/v ꀊ/u {ꁌ}ꌐꁱ/n ꀒ/vl ：/w 《/w {ꉌꊋꑠ}ꏓꋧ/v ꀊꀑꐱꃅꂴꄉ/nh 》/w 。/w 
426		 ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꁥ /q ...ꇨꀑꑊ/n ꁳ/p ꀊꀑꐱꃅꂴꄉ/nh ꁰꄻꀋꎪ/v ꀠꀋꄿ/v ：/w "/w ...ꇨꀁꑳ/n ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ...ꇨꂛꊨ/n ꀉꑳ/k ꀋꇈꃅ{ꄷ}ꈨ/mq ꀋꐈꌠ/d ꃅꄧꀕ /v ꃹ/p ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꁍꀉꑳ/n ꄤꃅꄉ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ，/w ꉌꃹ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ，/w ꂱ /r ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /d {ꆅ}ꄻꁧ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀊ/u ꄹꅔꌟꈄ /n ...ꑘ/v ꑖꉬꃅꐪ /n ，/w ꀋꀉꉙ/d ꀖ /v ꀉꇨꇇꃀꂛꊨ/n ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀒ/vl ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀊ/u ꌳꈄ/n ...ꇨꀁꑳ/n 。/w 
427		  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꑌꃪ/d ꀉꁁ/d ꆀ /v ꀙꏢ /ns {ꇇ}ꀯꀀꃅ/v ，/w ꉘꇉ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꃅꋩꂽ /v {ꃢꈜ}ꈚ/u {ꈎꄜ}ꀄꊭꌠ/a ꑾꃅꏷꀕ /n ꀊꅰ/d {ꏯ}ꀋꋌ/a ꃄꁕ/u ꁖꀋꃋ/v ꃹ/p ꀙꏢ/ns ꀊ/u ꍤꀂꏾꉶꇤ{ꁮꑧꇇ}ꂫꐟ/i ꀉꄂꀒ/vl 。/w "/w 
428		 ꀉꄂꀒ/d ꂴ {ꐯ}ꄳꊰ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ...ꅉ/n ꄻ/v ꁖ{ꋍꑍ...}ꆏ/vd ꃹ/v ，/w ꀐꍰ/d ꀣ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀊꅰ/d ꃹ/v ꀊꅰ/d ꂿꉂ/v ꃹ/v ꂼ /u ！/w "/w 
429		 ...ꇨꉌꈲ/n ꀋꂿꑘ/vu {ꇇ}ꐛꀋꐛ /v ꀉꁁ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ...ꇬꃹꇁꁡꇤ/v ：/w "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꉙꀒ/vl ꂿꉂ/v ꈌꑟ/v ꉢ (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r {ꃛ}ꌞꁦꀮ/ns ꀊ/u ꀉꃅ /n ꀞꅀ/u ？/w 
430		 ꂄꎔꀘ/nh (ꅇ)ꉉ/v ：/w "/w ꀊꄶ/r  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r …/w …/w ？/w "/w 
431		 ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ...ꑘ/mq ꄩꈴꄓ /a ꀀꄐꅍ/a ꀊ/u {ꉌꂵ}ꇗꄃꀕꃅꇏ/n ꄐꃹ /v ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀊ/u ꅳꁖꁿꅍ/n ：/w "/w ꀿꑳ/nhf ...ꅉꀉꒉ/n ：/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀎ/a 。/w 
432		 ꀀ/v ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꁱꐘ/n {ꑘ}ꃅ/n ，/w ꀋꂿꑘ/vu ꁨ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀀꁈꄰ...ꇬꎷ/v …/w …/w "/w 
433		 ꀈꄼꂿꃅ/nt ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꃹ/p ꀙꏢ/ns ...ꅉꁥ/n ꂄ...ꑳ/n ꈆ /n ꀞ{ꑘ}ꃅ/v ꀋꃋ/nt ，/w ꇮꁈꂷ/n ...ꇨ/h ꀉꈱ /nhf ꀠ/v ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ：/w "/w ...ꅉꁥ/n ꄈꀋꄚ/n ꀋꎪꀋꎪ/v ꀉꑌ/m ꆪ /nt ꁳ/p ꄏꀊꅰꃅꀬꅑ/nh ...ꌋꆀꐯꌟꁱ/n ꀊꂥꀞ/v ...ꑳ{ꐯ}ꄳꊰ/n ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r {ꆅ}ꌒ/vu ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀋꎪ/d ꀋꂿꑘ/vu ꀣꀊꄖ/v 。/w "/w 
434		 ꀀ/v ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꁱꐘ/n {ꑘ}ꃅ/n ，/w ꀋꂿꑘ/vu ꁨ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀀꁈꄰ...ꇬꎷ/v 。/w 
435		 ꄚꀋꃋ/r ，/w ꀉꁁ /r ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꂒꅉ/q ꀉꁧ/n ...ꇬꄉ/p ꀃꈈ/n ꃰꃅꑷꂿ/nd {ꇭꀧ}ꎇꈻ /v ꁖ{ꋍꑍ...}ꆏ/vd ，/w ꀃꀠꀋꄿ/v ：/w "/w ꑌ{ꉘꁮ、ꆧꁨ}ꏮꏑ/nhs ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꃹ/d ꂿꋺ/v ꈀꄸ /r ...ꅀ...ꂯ/u ？/w "/w 
436		  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r {ꆅ}ꄻ/v ꀊꄶ/r {ꇁ}ꋋ{ꇩꏤꇬ}ꀉꇨꌠ/n ꁱꀕꏂꀨꍸꇐ /n {ꑍ}ꃅ...ꅉꀞ议/n ꀊ/u ꁧꎁ/n ꃹ/p ꑌ{ꉘꁮ、ꆧꁨ}ꏮꏑ/nhs ꀊ/u ꀉꄉ /n 、/w ꐩꋊꎥꃪ {ꀋꉊꃀꂽ}ꍆꅉ/ni {ꀋꉊꃀꂽ}ꍆꅉꀉꒉ/n ꇑ{ꇭꀧ}ꀧꌋꃅ/nh ...ꐨꀋꉬꀋꄿꌠ/v ꀁꋌ/nd ...ꇬꃹꇁ{ꋍꑍ...}ꆏ/v ꀋꃋ/nt ，/w ꁥꂽ/n {ꄉ}ꄐ/nd ꀊꄶ/r ꈯꄿ /n ꏥꑌ /a ꀊꄸꄷ/c ꈌꊝꅱꊝ /i 、/w {ꄯꒉ}ꁏ /v {ꃢꈜ}ꈚ/u ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀂꏾ/n ꀉꒉꀍꑐ/n ꀊ/u ꀈꆧꃅꈎ/n ，/w ꀉꄂꀒ/vl ꀉꁁ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r 。/w 
437		 ꀉꄂꀒ/d ꀀꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀉꁘ/v ꃹ/p ꀑꑊꂱꀉꇨꀞꀿꃶ/n {ꂱꑱ}ꃅꄷ/nd ，/w ꀨꀞ/n ꀱ/p ꆏ /r (ꅇ)ꉉꀈ꒜/v ：/w '/w {ꐻꌡ}ꌠꃅꄡ/nh ...ꌋꆀꐯꌟꁱ/n ：/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꁁ/d ꃹ/d ꁰꄻ/v ꁱꇐ /n ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ，/w ꀎ/a ꆏ/u ，/w ꊛ /v ꁰꄻ/v ꀁꋌꀋꉊ/v 。/w '/w 
438		 ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꂿꉂ/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀞ/nt ，/w (ꅇ)ꉉ/v ，/w "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀋꇈ/p ꄚ/r ꀋꇈꃅ/m ꅇꂷ/n ꅇ/n ...ꈭꐨ(ꅇ)ꉉ/v ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꃢ /q 。/w "/w 
439		 ꀉꁁ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꃹ/p ꀉꑌꀋꆷꀊꋨ{ꄉ}ꄐ/i ，/w ꀱꀂꏾ/v {ꆅ}ꄻ...ꇬꉜ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ，/w ꀨꀞ/vu ...ꌋꆀꐯꌟ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꇨꃅꁻꃑꌠꀑꑊ/a ꀊꄸꄷ/c ꀉꎂ /a ꃄꁕ/u ꀠ /v ，/w ꀐꍰ/d ꀨꀞ/vu ...ꌋꆀꐯꌟ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r (ꅇ)ꉉ/v ꀋꇈꃅ/m ꅇꂷ/n {ꇇꊭ}ꈬꑳꐁꅉ切/v ꀊꄸꄷ/c ꈓꊟꊋꊡ /v ꀊ/u ꅇ/n 。/w 
440		  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀀ/v ꄚ{ꄷ}ꈨ/r ꇿ /n ꀞꅀ/u ？/w 
441		 {ꄆ}ꆚ /nhf ꀨꀞ/n ꄿꐨ/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ꀉꄂꀉꁁ/d ꀉꇨꀋꄸꄷ/a ，/w ꀋꄸꄷ{ꉌꊋꑠ}ꏓꋧꄓꄓ/i ꃄꁕ/u ꂯꄉ/p ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꊙ...ꁳ /v ：/w "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꁨ/v ꄀ/nhf ꀉꇨꀊꌱ/n {ꋍꑍ...}ꆏ/vd {ꄷ}ꈨ/q ꂓꀨ /n ꆏ/u ！/w 
442		 ...ꌋꆀꐯꌟꅉ/v ꀎꀋꇈꃅ/m ꀃꈈ/n ，/w {ꌌꁈ}ꎹꐺꀞꅀ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ...ꁁꏯ...ꁖ/v ꄚ{ꄷ}ꈨ/r ꀂꏾ/n ？/w 
443		  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀨ/d ꀉꉙ{ꌬ}ꐓ/vu ꀋꇈ/p ꀉꑳ {ꐯ}ꄳꊰ/n ꀊ/u ꀋꆅꀮ/n {ꂱꑱ}ꃅꄷ/nd ꀐꍰ/d ꀱꋍ/v ꁙ /q ꀨꁮ /n {ꑳ}ꏶ /u ！/w "/w 
444		 ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꄿꐨ/v ꀉꄂ/d {ꉌꂵ}ꐯꇯꌠꀠꀋꄿ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꉙꀞ/vu ꈰꏅ /v 。/w "/w 
445		 ꇛꌺꌤꀞꅉ /nhf {ꇮꅍꐥꌠ}ꌧꃀꂘ/n ꂿꀈ꒜/v ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ...ꇬꎷꀑꑊ/n ꀊꅰꃅ/v ꀊ/u ꅝꇐ /n ，/w ꀋꎪ /a ꃄꁕ/u (ꅇ)ꉉ/v ，/w "/w ꌚ /nhf ...ꇨ{ꇮꅍꐥꌠ}ꌧꃀ/n ꀉꁁ...ꇬꉜꀋꀵꀕ/i ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀒ/vl {ꄷ}ꈨ/q {ꇇꊂ}ꄸꀑꑊ/n ，/w ꁧꀋꐈꌠ/nt ꀋꀁꑌ/v ꀰꎓꌥꑻ /v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ，/w {ꆅ}ꌒ/d ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꄉ{ꄷ}ꈨꀉꑳ/r {ꇇ}ꀯ/d ꀋꀞ/v ꀞꀉꑳ/nt 。/w 
446		  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ...ꅀ...ꂯ/u ，/w ꀉꁁ/d ꅨ /v ꀉꉙ/d {ꐻ}ꐯ/v ꁳ/p ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꂴꄉ/v {ꄷ}ꈨ/q {ꀀ}ꐚꀉꑳ/n 。/w
447		ꀂ/r ꁰꄻ/v ꌋꑖ/nꀋꃋ/nt ，/w ꂵꆧ/nt ，/w ꃘ/nhf ꀉꃰ/n ꀋꇈ/p ꀁꉘ/a ꇓꂵ/n ꀲꒉ/v ꀁ/u ꀉꑌꀉꑌ/a ꀊ/u ；/w  [ꅽ] ꊈ/r ꂯ/p ꃚꈻꏸ/n ꂯ/d ꀋꀬ/vu {ꒉ}ꈾ/v 。/w 
448		 ꀋꇈ/d ꉠ/r ꈍꃅ/r ꀉꄂ/d ꀋꂿꉂꁧ/v ꀐꍰ/d ꀱ{ꎆ}ꁯ/vu ꀨꎹꀱ/v  [ꅽ] ꊈ/r ꀉꇨꁥ/r ꀋ/u ？/w "/w 
